Date,Category,Description,Amount
02-01-2025,Food,McDonald's,350
03-01-2025,Transport,Uber,240
05-01-2025,Shopping,Amazon,1499
06-01-2025,Bills,Electricity Bill,1850
08-01-2025,Food,KFC,520
10-01-2025,Entertainment,Movie Tickets,450
12-01-2025,Food,Starbucks,380
14-01-2025,Groceries,Reliance Fresh,2150
15-01-2025,Transport,Metro Card Recharge,500
17-01-2025,Healthcare,Pharmacy,760
19-01-2025,Shopping,H&M Clothing,2499
20-01-2025,Bills,Internet Bill,899
22-01-2025,Food,Domino's Pizza,780
23-01-2025,Entertainment,Netflix Subscription,649
24-01-2025,Groceries,D-Mart,1850
26-01-2025,Transport,Petrol,3200
27-01-2025,Healthcare,Dental Checkup,1500
28-01-2025,Shopping,Flipkart Electronics,12999
29-01-2025,Bills,Mobile Recharge,399
30-01-2025,Food,Subway,420
